assembly	binner	bin	n_contigs	total_length	n50	gc_pct
coassembly	concoct	coassembly.concoct.0	1	706	706	57.08
coassembly	concoct	coassembly.concoct.10	2	1437	774	46.62
coassembly	concoct	coassembly.concoct.11	1	686	686	51.90
coassembly	concoct	coassembly.concoct.1	1	743	743	35.67
coassembly	concoct	coassembly.concoct.2	1	519	519	53.76
coassembly	concoct	coassembly.concoct.3	1	657	657	53.12
coassembly	concoct	coassembly.concoct.4	1	550	550	34.55
coassembly	concoct	coassembly.concoct.5	2	2263	1673	32.30
coassembly	concoct	coassembly.concoct.6	274	1762279	11496	47.19
coassembly	concoct	coassembly.concoct.7	1	732	732	46.58
coassembly	concoct	coassembly.concoct.8	353	242318	663	40.01
coassembly	concoct	coassembly.concoct.9	1	534	534	35.96
coassembly	metabat2	coassembly.metabat2.1	126	739095	7606	51.77
coassembly	metabat2	coassembly.metabat2.2	46	812511	23272	42.93
coassembly	dastool	coassembly.concoct.8	353	242318	663	40.01
coassembly	dastool	coassembly.metabat2.1	126	739095	7606	51.77
