contigName	contigLen	totalAvgDepth	minigut2.sorted	minigut2.sorted-var	minigut1.sorted	minigut1.sorted-var
k141_2	1325	2.97551	2.97551	1.58764	0	0
k141_5	2926	6.7076	0	0	6.7076	5.6255
k141_7	511	1.90998	1.90998	0.574803	0	0
k141_793	10348	5.54325	0.0589383	0.0554734	5.48431	4.14225
k141_794	649	1.74317	1.74317	0.76056	0	0
k141_11	4610	5.11843	0	0	5.11843	5.36843
k141_795	687	1.8092	1.8092	0.38674	0	0
k141_15	544	2.48198	2.48198	1.14414	0	0
k141_17	788	6.12926	0	0	6.12926	4.10703
k141_797	1736	6.07579	6.07579	9.63211	0	0
k141_19	21034	8.02979	0	0	8.02979	7.21218
k141_20	587	4.49897	4.49897	3.53036	0	0
k141_22	583	1.66874	1.66874	0.304975	0	0
k141_801	21607	8.07652	0	0	8.07652	9.38905
k141_24	14430	6.13791	0.0421493	0.0403719	6.09576	6.34358
k141_803	14050	6.18914	0.0541219	0.0511972	6.13502	5.68652
k141_27	621	2.48177	2.48177	0.673218	0	0
k141_807	542	2.37557	2.37557	0.634143	0	0
k141_30	706	2.07261	2.07261	0.576539	0	0
k141_808	1235	3.77004	3.77004	2.45237	0	0
k141_31	804	2.85369	2.85369	3.21754	0	0
k141_809	829	3.53361	3.53361	1.03218	0	0
k141_33	614	1.79572	1.79572	0.201854	0	0
k141_35	760	1.84242	1.84242	0.41823	0	0
k141_816	581	2.45114	2.45114	1.26063	0	0
k141_818	569	2.23028	2.23028	0.545148	0	0
k141_40	565	4.0207	0	0	4.0207	3.12407
k141_42	697	1.60302	1.60302	0.263281	0	0
k141_825	703	2.52073	2.52073	0.618757	0	0
k141_826	513	2.53269	2.53269	0.370895	0	0
k141_828	744	1.7205	1.7205	0.22658	0	0
k141_830	594	1.92308	1.92308	0.529568	0	0
k141_833	590	1.91224	1.91224	0.407415	0	0
k141_834	607	3.04734	3.04734	2.48392	0	0
k141_835	536	2.76376	2.76376	0.341763	0	0
k141_837	608	2.03543	2.03543	0.523396	0	0
k141_840	522	1.55213	1.55213	0.247869	0	0
k141_844	1673	39.6573	39.6573	1404.51	0	0
k141_845	530	2.57209	2.57209	0.683605	0	0
k141_847	650	2.25636	2.25636	0.64272	0	0
k141_43	11496	7.9724	0	0	7.9724	9.25
k141_851	5587	5.79618	0.0550392	0.0520141	5.74114	6.58539
k141_852	536	2.25688	2.25688	0.812021	0	0
k141_853	799	5.94979	0	0	5.94979	4.78237
k141_855	948	6.82448	0	0	6.82448	4.21422
k141_49	9735	8.04506	0	0	8.04506	7.86225
k141_51	631	2.28625	2.28625	1.08017	0	0
k141_52	579	1.68267	1.68267	0.292399	0	0
k141_856	6021	6.2226	0	0	6.2226	7.17912
k141_857	624	1.77672	1.77672	0.338194	0	0
k141_861	910	2.28519	2.28519	0.6491	0	0
k141_865	1377	5.95377	0.118246	0.104344	5.83552	2.42192
k141_866	1548	6.25288	0.0959945	0.0868395	6.15689	5.83338
k141_54	8396	6.22773	0.0728062	0.0675205	6.15492	6.80405
k141_867	2037	5.25422	0	0	5.25422	2.46093
k141_871	537	1.84439	1.84439	0.60417	0	0
k141_62	776	1.80769	1.80769	0.914076	0	0
k141_875	523	2.3026	2.3026	0.51485	0	0
k141_877	1052	2.43277	2.43277	0.765191	0	0
k141_66	623	1.82983	1.82983	0.382864	0	0
k141_69	1511	19.8753	19.8753	114.454	0	0
k141_881	5085	5.80304	0.0880642	0.0803235	5.71497	3.45968
k141_882	511	1.96107	1.96107	0.735065	0	0
k141_71	4446	7.15467	0	0	7.15467	6.82517
k141_73	539	2.52392	2.52392	0.683787	0	0
k141_76	732	2.66456	2.66456	0.854023	0	0
k141_885	1701	6.08236	0.0743285	0.0688458	6.00803	4.99807
k141_78	794	6.07865	0	0	6.07865	8.6239
k141_889	664	2.23227	2.23227	1.0845	0	0
k141_891	1547	3.63994	3.63994	2.261	0	0
k141_892	541	2.14966	2.14966	0.704826	0	0
k141_80	4317	6.5256	0.106	0.0947826	6.4196	5.02725
k141_83	539	2.0615	2.0615	0.788444	0	0
k141_85	562	2.93074	2.93074	1.65246	0	0
k141_86	564	2.28233	2.28233	0.375843	0	0
k141_894	11551	6.10428	0	0	6.10428	5.12822
k141_87	11487	8.18176	0	0	8.18176	7.24837
k141_895	4121	4.81192	0.0751057	0.0694853	4.73682	4.40101
k141_92	627	1.81594	1.81594	0.534498	0	0
k141_96	1570	3.19116	3.19116	2.61221	0	0
k141_97	1255	16.0446	0.130736	0.113741	15.9139	14.0242
k141_101	1333	2.70479	2.70479	0.998818	0	0
k141_102	5000	6.04964	0.0616327	0.0578433	5.988	4.03302
k141_899	11284	8.79602	0	0	8.79602	8.11034
k141_107	500	2.1775	2.1775	0.502251	0	0
k141_111	528	1.81776	1.81776	0.664602	0	0
k141_112	552	2.11726	2.11726	0.582672	0	0
k141_113	1000	5.97821	0	0	5.97821	3.5415
